year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Acura,ILX,Base,sedan,automatic,19vde1f30de018806,NV,4.3,23689,white,black,david wilsons toyota of las vegas,17550,17500,Fri Jun 12 2015 04:55:00 GMT-0700 (PDT)
2014,Acura,ILX,Base,Sedan,automatic,19vde1f31ee008707,IL,4.2,23198,gray,black,american honda motor company,17850,18600,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
1999,Acura,Integra,LS,hatchback,automatic,jh4dc4456xs014066,FL,2.4,104039,silver,black,coral springs honda,1450,2300,Fri Jun 19 2015 02:30:00 GMT-0700 (PDT)
2001,Acura,MDX,Touring,SUV,automatic,2hnyd18811h526006,CA,1.9,180589,gold,brown,south coast toyota,2875,2400,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2002,Acura,MDX,Touring,SUV,automatic,2hnyd18862h507596,CA,3.2,155353,black,black,bob baker jeep,3375,4000,Fri Jan 23 2015 07:00:00 GMT-0800 (PST)
2002,Acura,MDX,Base,suv,automatic,2hnyd18252h502711,CA,3.3,155561,gray,black,bob baker volkswagen subaru,3325,3500,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
2002,Acura,MDX,Base,SUV,automatic,2hnyd18202h534644,VA,3.4,241781,black,black,pohanka acura,2275,2800,Thu Mar 05 2015 01:50:00 GMT-0800 (PST)
2003,Acura,MDX,Touring,SUV,automatic,2hnyd18633h004110,FL,2.1,152990,green,gray,autonation acura sanford,4225,3200,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
2004,Acura,MDX,Touring,SUV,automatic,2hnyd18844h532435,PA,4.3,97287,silver,black,autocelli inc,7075,8800,Fri Jan 23 2015 01:15:00 GMT-0800 (PST)
2004,Acura,MDX,Touring,SUV,automatic,2hnyd18614h553368,NC,2.9,72803,silver,gray,fred anderson toyota/scion,7925,8300,Mon Jan 12 2015 09:00:00 GMT-0800 (PST)
2005,Acura,MDX,Touring,suv,automatic,2hnyd18635h503850,NY,3.6,143612,black,black,adk auto brokers inc,5750,5700,Thu Jun 11 2015 02:45:00 GMT-0700 (PDT)
2005,Acura,MDX,Touring,suv,automatic,2hnyd18625h518744,NJ,3.6,112156,silver,black,remarketing by ge/nextgear capital,7175,7200,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2005,Acura,MDX,Touring,SUV,automatic,2hnyd18685h510728,TX,3.1,175004,green,black,westlake financial services,4975,4100,Tue Jan 20 2015 02:30:00 GMT-0800 (PST)
2007,Acura,MDX,Base,SUV,automatic,2hnyd28287h542360,TX,4.2,88021,black,gray,david mcdavid acura,13100,15000,Wed Feb 11 2015 02:20:00 GMT-0800 (PST)
2007,Acura,MDX,Base,SUV,automatic,2hnyd282x7h538567,FL,2.9,71862,silver,gray,tow truck co of orlando,14700,13800,Wed Mar 04 2015 01:05:00 GMT-0800 (PST)
2008,Acura,MDX,Base,SUV,automatic,2hnyd28378h521526,GA,3.5,74302,white,tan,jaguar aston martin naples,16650,17600,Thu Jan 22 2015 02:00:00 GMT-0800 (PST)
2009,Acura,MDX,Base,SUV,automatic,2hnyd28819h509918,CA,4.1,67425,white,tan,american honda motor company,19900,22750,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2009,Acura,MDX,Base,SUV,automatic,2hnyd28699h511723,TX,3.3,65478,gray,black,mercedes-benz of houston north,20800,20500,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
2009,Acura,MDX,Base,SUV,automatic,2hnyd28409h516422,NC,4.4,148371,white,gray,hendrick buick gmc cadillac,11400,12100,Mon Jan 12 2015 09:30:00 GMT-0800 (PST)
2012,Acura,MDX,Base,SUV,NA,2hnyd2h25ch501307,PA,3.6,30023,blue,gray,"ahfc/honda lease/trust/hvt, inc. eot acuras",27600,27400,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2012,Acura,MDX,Base,SUV,automatic,2hnyd2h23ch506005,TX,3.6,62466,silver,gray,music city autoplex llc,23400,22250,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
2012,Acura,MDX,Base,suv,NA,2hnyd2h28ch538139,PA,4.1,45347,burgundy,tan,"ahfc/honda lease/trust/hvt, inc. eot acuras",24800,25000,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
2012,Acura,MDX,Base,SUV,NA,2hnyd2h26ch509593,PA,4.1,17353,black,black,r hollenshead auto sales inc,28200,29000,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2012,Acura,MDX,Technology Package,SUV,automatic,2hnyd2h32ch505341,TX,2.3,63638,blue,gray,david mcdavid acura,26100,22000,Wed Mar 04 2015 02:20:00 GMT-0800 (PST)
2012,Acura,MDX,Technology Package,SUV,automatic,2hnyd2h37ch510373,NJ,3.8,42970,gray,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",28600,29600,Wed Jan 14 2015 09:30:00 GMT-0800 (PST)
2012,Acura,MDX,Base,SUV,NA,2hnyd2h21ch530500,PA,4.3,19474,black,beige,sports car leasing,28000,28200,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
2012,Acura,MDX,Advance Package,SUV,automatic,2hnyd2h67ch507743,CA,3.7,39946,gray,black,"ahfc/honda lease trust/hvt, inc. eot",31600,29000,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
2013,Acura,MDX,Technology Package,SUV,automatic,2hnyd2h35dh508574,WA,4.5,10788,red,gray,acura of seattle,35800,36000,Wed Jan 07 2015 13:20:00 GMT-0800 (PST)
2014,Acura,MDX,SH-AWD w/Technology Package,SUV,automatic,5fryd4h44eb018496,IL,3.8,1453,black,black,"ahfc/honda lease trust/hvt, inc acuras",42100,41200,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
2007,Acura,RDX,Base,SUV,automatic,5j8tb18237a014158,FL,2.9,101733,white,gray,d&a fine cars,10400,9600,Fri May 22 2015 02:25:00 GMT-0700 (PDT)
2008,Acura,RDX,Base,SUV,automatic,5j8tb18588a000025,TX,3.4,136168,gray,silver,bmw of arlington,8225,8500,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2010,Acura,RDX,Base,SUV,automatic,5j8tb2h52aa001473,CA,3.8,73103,gray,beige,skyhigh remarketing inc,15650,16800,Wed Jan 07 2015 12:00:00 GMT-0800 (PST)
2011,Acura,RDX,SH-AWD,SUV,automatic,5j8tb1h51ba007826,FL,4.6,36778,white,gray,tdaf remarketing,20900,23500,Tue Jan 27 2015 01:00:00 GMT-0800 (PST)
2012,Acura,RDX,Technology Package,SUV,automatic,5j8tb2h54ca003700,TX,4.1,29083,white,gray,music city autoplex llc,23200,25000,Wed Feb 11 2015 02:20:00 GMT-0800 (PST)
2013,Acura,RDX,Technology Package,suv,automatic,5j8tb3h56dl010787,WI,4.1,32987,purple,tan,acura libertyville,25900,25700,Wed Jun 10 2015 03:00:00 GMT-0700 (PDT)
2014,Acura,RDX,Technology Package,suv,NA,5j8tb4h57el020395,PA,4.5,38994,silver,black,adcock brothers inc,29400,30000,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
2014,Acura,RDX,Technology Package,SUV,automatic,5j8tb4h5xel012467,NC,4.4,31737,gray,beige,lease plan usa,31200,29500,Tue Feb 10 2015 01:15:00 GMT-0800 (PST)
2002,Acura,RL,3.5,Sedan,automatic,jh4ka96582c016153,FL,3.6,110204,white,tan,arg inc,3225,5200,Fri Feb 13 2015 01:30:00 GMT-0800 (PST)
2006,Acura,RSX,Base,Hatchback,automatic,jh4dc54816s002275,GA,2.5,91245,white,tan,cameron motor sports,6100,8000,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
1996,Acura,TL,2.5 Premium,Sedan,automatic,jh4ua2656tc015004,CA,2,178374,white,tan,harold's car donation service,650,700,Wed Jan 07 2015 04:30:00 GMT-0800 (PST)
1999,Acura,TL,3.2,Sedan,automatic,19uua5647xa049403,CA,1.9,146564,red,black,the hertz corporation,1275,1450,Wed May 20 2015 05:30:00 GMT-0700 (PDT)
1999,Acura,TL,3.2,sedan,automatic,19uua5645xa012768,CA,3.6,94564,white,beige,lexus of stevens creek,1875,2200,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2000,Acura,TL,3.2,Sedan,automatic,19uua566xya025129,MA,2,201226,white,tan,international motor group annex,1375,1250,Thu Jan 15 2015 10:30:00 GMT-0800 (PST)
2002,Acura,TL,3.2,Sedan,automatic,19uua56772a010104,MD,2.9,164059,black,black,jim coleman cadillac infiniti,2050,1500,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2002,Acura,TL,3.2,Sedan,automatic,19uua56632a047156,FL,4.5,131469,gold,beige,coggin acura,2625,4000,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2004,Acura,TL,3.2,Sedan,automatic,19uua66254a050744,CA,4,151046,gray,gray,south coast acura,5025,5300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2004,Acura,TL,3.2,Sedan,automatic,19uua66244a035734,FL,2.8,157187,green,beige,autonation honda clearwater,4375,3500,Tue Jan 27 2015 10:00:00 GMT-0800 (PST)
2004,Acura,TL,3.2,Sedan,automatic,19uua66274a045223,FL,2.4,123521,gold,tan,audi pembroke pines,5550,5200,Fri Mar 06 2015 01:35:00 GMT-0800 (PST)
2005,Acura,TL,3.2,Sedan,automatic,19uua66205a031956,VA,2.3,153046,silver,black,university of virginia community credit union,5500,5000,Thu Feb 12 2015 01:20:00 GMT-0800 (PST)
2005,Acura,TL,3.2,sedan,automatic,19uua662x5a027879,CA,2.2,80828,gray,gray,a l financial corporation,8050,8300,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
2006,Acura,TL,Base,Sedan,automatic,19uua66266a060542,NC,2,125792,white,â€”,santander consumer,7475,8300,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)
2006,Acura,TL,Base,sedan,automatic,19uua66236a034755,CA,4.2,61659,gray,black,desert european motorcars,9475,12250,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
2007,Acura,TL,Base,Sedan,automatic,19uua66277a032380,NC,1.9,101127,gray,black,hendrick bmw,8725,8500,Wed Feb 04 2015 06:00:00 GMT-0800 (PST)
2007,Acura,TL,Base,Sedan,automatic,19uua66287a021663,MD,2.7,80573,black,tan,lexus of annapolis,10650,10100,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2007,Acura,TL,Type-S,Sedan,automatic,19uua76557a008787,MD,2.3,93553,blue,black,santander consumer,12350,12400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2008,Acura,TL,Type-S,Sedan,automatic,19uua76508a011064,CA,1.9,128270,gray,black,i auto sales inc,11400,9700,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2008,Acura,TL,Type-S,Sedan,automatic,19uua76538a015111,NJ,3.6,74518,black,gray,joshua motor car co inc,16700,15200,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
2008,Acura,TL,Base,sedan,automatic,19uua66298a053698,NJ,2.4,116159,gray,gray,black tie classics llc,9400,8400,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
2008,Acura,TL,Base,Sedan,automatic,19uua662x8a014361,VA,4.1,106074,white,beige,"jpmorgan chase bank,n.a.",9075,8900,Thu Feb 12 2015 01:20:00 GMT-0800 (PST)
2009,Acura,TL,Base,sedan,automatic,19uua86529a018671,CA,2.4,61898,white,beige,mckenna volkswagen,15300,15600,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
2011,Acura,TL,SH-AWD,sedan,NA,19uua9f5xba000916,PA,3.3,58996,gray,black,"ahfc/honda lease trust/hvt, inc acuras",20000,20000,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
2011,Acura,TL,Base,Sedan,automatic,19uua8f26ba005935,GA,4.8,68884,gray,black,gm financial,15550,16000,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,sedan,automatic,19uua8f2xca036588,NJ,4,44415,white,beige,"ahfc/honda lease/trust/hvt, inc. eot acuras",17350,18600,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2012,Acura,TL,Base,Sedan,automatic,19uua8f24ca017664,GA,3.7,35617,black,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",18600,18400,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2012,Acura,TL,Advance Package,Sedan,automatic,19uua8f79ca020958,NV,3,28685,â€”,beige,"ahfc/honda lease/trust/hvt, inc. eot acuras",23000,22000,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,NA,19uua8f29ca007244,PA,2.7,46726,black,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",17900,16500,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
2012,Acura,TL,Technology Package,Sedan,automatic,19uua8f50ca025349,TX,2.5,39324,black,black,tdaf remarketing,20200,19600,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
2012,Acura,TL,SH-AWD w/Technology Package,Sedan,automatic,19uua9f50ca003910,NJ,2.8,20443,silver,black,"ahfc/honda lease trust/hvt, inc. eot",24200,21700,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,NA,19uua8f24ca019902,PA,3.6,32222,gray,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",18700,17900,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,NA,19uua8f21ca018691,PA,2.4,22795,gray,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",19450,17600,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
2012,Acura,TL,Technology Package,Sedan,automatic,19uua8f53ca026267,IL,4.4,35489,gray,gray,"ahfc/honda lease/trust/hvt, inc. eot acuras",20900,21250,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
2004,Acura,TSX,Base,Sedan,automatic,jh4cl96994c034326,FL,2.2,160224,black,â€”,courtesy kia of brandon,4725,5400,Thu Feb 12 2015 08:30:00 GMT-0800 (PST)
2007,Acura,TSX,Base,Sedan,automatic,jh4cl96847c016991,MA,2.8,111980,black,black,route 6 auto mall kia,7950,7300,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
2010,Acura,TSX,Base,sedan,automatic,jh4cu2f62ac023223,MD,2.4,42992,gray,gray,tischer acura nissan,15400,12700,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2010,Acura,TSX,Base,Sedan,automatic,jh4cu2f62ac006776,TX,2.9,72908,gray,black,tdaf remarketing,14100,14000,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,NA,jh4cu2f44cc014752,PA,3.8,53836,blue,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",15150,15500,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f64cc025185,FL,4.1,34612,gray,black,mazda of wesley chapel,18050,17500,Thu May 21 2015 02:50:00 GMT-0700 (PDT)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f46cc003364,CA,4.2,63285,burgundy,beige,remarketing by ge/larry h miller-fleet lease,14300,14750,Tue Feb 17 2015 04:00:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f43cc007761,CA,3.9,43127,black,black,"ahfc/honda lease trust/hvt, inc. eot",16450,17800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f87cc021374,NJ,2.8,29846,black,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",18050,16500,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,NA,jh4cu2f86cc002766,PA,2.8,39652,white,black,"ahfc/honda lease trust/hvt, inc acuras",17400,15500,Fri Feb 20 2015 01:00:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,NA,jh4cu2f46cc013294,PA,3.6,33491,silver,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",16700,16300,Fri Jan 23 2015 01:00:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,NA,jh4cu2f41cc015826,PA,4.1,31865,silver,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",17700,18300,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f63cc007180,GA,2.4,42822,gray,gray,"ahfc/honda lease/trust/hvt, inc. eot acuras",17400,15800,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f63cc030670,WA,2.1,28613,black,black,h & h motors inc,17950,19400,Wed May 13 2015 06:15:00 GMT-0700 (PDT)
2012,Acura,TSX,Special Edition,Sedan,manual,jh4cu2e83cc007294,PA,3.8,60369,red,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",14550,15300,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f83cc003776,NV,1.9,39373,red,black,"ahfc/honda lease/trust/hvt, inc. eot acuras",17750,16300,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2006,Audi,A3,2.0T,Wagon,automatic,waunf78p96a173790,NC,1.9,101349,blue,beige,dt credit corporation,6625,4200,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2011,Audi,A3,2.0 TDI Premium,Wagon,automatic,waubjbfm7ba045782,CA,3.6,52919,white,tan,aaero sweet company,17050,18300,Wed Jan 14 2015 04:15:00 GMT-0800 (PST)
2012,Audi,A3,2.0T Premium,Wagon,automatic,waukfafm0ca012474,CA,2.5,22470,â€”,black,volkswagen credit inc/sc,19050,19250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2013,Audi,A3,2.0 TDI Premium Plus,Wagon,NA,waukjafm7da033001,PA,4.6,60637,black,black,r hollenshead auto sales inc,20700,18500,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2015,Audi,A3,1.8 TFSI Premium,Sedan,NA,wauacgff1f1007359,GA,4.9,4040,gray,black,jim ellis,24300,23600,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
1999,Audi,A4,2.8 quattro,Sedan,automatic,waued28d5xa265835,CA,1,129628,black,black,mary liz auto sales,1375,200,Wed Mar 04 2015 07:10:00 GMT-0800 (PST)
2000,Audi,A4,1.8T quattro,Sedan,automatic,waudc28d3ya046906,WA,2.3,125442,black,beige,robert larson's hyundai,1550,2700,Wed Feb 11 2015 06:00:00 GMT-0800 (PST)
2000,Audi,A4,2.8 quattro,Sedan,manual,waudh28d2ya098481,WA,3.1,155111,silver,black,bmw seattle,1500,2450,Wed Feb 18 2015 04:30:00 GMT-0800 (PST)
2001,Audi,A4,1.8T quattro,sedan,automatic,waudc68d91a077767,NJ,2.9,102456,red,gray,car cash,1775,2300,Tue Jun 09 2015 03:15:00 GMT-0700 (PDT)
2002,Audi,A4,1.8T quattro,Sedan,manual,waulc68e72a279870,OH,1.9,184522,red,black,wright-patt credit union,1525,1600,Thu Jan 15 2015 01:00:00 GMT-0800 (PST)
2004,Audi,A4,1.8T quattro,Sedan,automatic,waulc68e74a198032,NY,1,151381,blue,tan,purple heart services inc,2375,1400,Thu Feb 26 2015 04:45:00 GMT-0800 (PST)
2005,Audi,A4,1.8T,Convertible,automatic,waubc48h75k016822,FL,3.7,71492,silver,black,autosport usa,5200,7200,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2006,Audi,A4,2.0T quattro,Sedan,automatic,waudf78e26a008531,MD,3.5,87933,gray,black,carbiz,6950,7200,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2006,Audi,A4,2.0T quattro,Sedan,manual,waudf78e86a252538,PA,3.2,89551,black,black,r hollenshead auto sales inc,6475,8800,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2006,Audi,A4,3.0 quattro,Convertible,NA,waudt48hx6k003637,PA,3.5,102782,gray,gray,adcock brothers inc,5000,6000,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2006,Audi,A4,1.8T,convertible,automatic,wauac48h86k008158,PA,2.7,80318,black,beige,hertrich family,7000,7300,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2006,Audi,A4,2.0T,Sedan,automatic,wauaf78e56a155106,FL,1.9,77001,blue,gold,miscellaneous marshalling-manheim lakeland,7250,6200,Thu Feb 05 2015 07:00:00 GMT-0800 (PST)
2006,Audi,A4,2.0T quattro,Sedan,automatic,waudf78e26a225366,GA,3.2,56942,red,tan,innovative auto llc,8800,9000,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
2007,Audi,A4,2.0T,Sedan,automatic,wauaf78e67a173387,FL,2.5,86086,silver,black,innovate loan servicing corp,6700,4600,Thu Jan 29 2015 07:01:00 GMT-0800 (PST)
2007,Audi,A4,2.0T,convertible,automatic,waubf48h17k017524,CA,2.7,72453,gray,black,bank of america,8000,7700,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
2007,Audi,A4,2.0T quattro,Sedan,NA,wauef78ex7a080373,PA,4.1,74273,silver,black,fiserv/global lending services,8500,9500,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
2007,Audi,A4,2.0T quattro,Convertible,automatic,waudf48h87k021336,NJ,3.6,62857,silver,gray,wells fargo dealer services,10000,9000,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
2008,Audi,A4,2.0T Avant quattro,Wagon,automatic,waukf78e68a169023,GA,3.7,52345,white,tan,bank of america,14300,13400,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2008,Audi,A4,2.0T quattro,Sedan,automatic,waudf78e88a076058,VA,4.2,99450,black,beige,brown honda,8050,8600,Thu Feb 12 2015 01:35:00 GMT-0800 (PST)
2008,Audi,A4,2.0T quattro,Sedan,NA,waudf78e68a069125,VA,3.6,102544,gray,gray,toyota of glen burnie,8650,8600,Thu Jan 22 2015 01:05:00 GMT-0800 (PST)
2008,Audi,A4,2.0T,Sedan,automatic,wauaf78e18a116368,CA,2.7,78857,black,black,walters auto sales/service inc,8575,9000,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2008,Audi,A4,2.0T quattro,Sedan,automatic,waudf78e38a142757,CA,3.8,124022,gray,black,audi of downtown l a,6125,6500,Wed Feb 25 2015 04:15:00 GMT-0800 (PST)
2009,Audi,A4,3.2 Premium Plus quattro,Sedan,NA,waulk78k89a078455,PA,3.2,93450,black,beige,crofton auto brokers,13000,11900,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2009,Audi,A4,2.0T Premium quattro,Sedan,NA,wausf78k29n020186,PA,2.3,72865,white,tan,adcock brothers inc,12900,11000,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2009,Audi,A4,2.0T Premium quattro,Sedan,automatic,wausf78kx9a146321,FL,3.6,46904,blue,silver,onemain rem/silva auto sales,14950,14500,Fri Jan 16 2015 02:00:00 GMT-0800 (PST)
2010,Audi,A4,2.0T Premium quattro,Sedan,NA,wauffafl0an031380,PA,4.3,47321,black,black,r hollenshead auto sales inc,17850,19000,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
2010,Audi,A4,2.0T Premium quattro,Sedan,manual,waudfafl6an038227,NC,3,106982,blue,beige,meridian remarketing,9875,9500,Mon Feb 23 2015 01:30:00 GMT-0800 (PST)
2010,Audi,A4,2.0T Premium quattro,Sedan,automatic,wauffafl1an021814,CA,2.9,49513,white,black,audi palo alto,17850,18750,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
2010,Audi,A4,2.0T Premium,Sedan,NA,wauafafl4an066787,FL,3.4,46210,gray,gray,ebenzz motors,14500,15500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2011,Audi,A4,2.0T Premium quattro,Sedan,automatic,waubfafl1bn048172,CA,2.9,25126,â€”,black,volkswagen credit inc/sc,18700,19500,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2011,Audi,A4,2.0T Premium,Sedan,automatic,wauefafl1bn053823,CA,3.4,54392,silver,black,fratelli investment group,16600,18500,Wed Feb 18 2015 04:15:00 GMT-0800 (PST)
2012,Audi,A4,2.0T Premium,Sedan,automatic,wauefafl6cn006448,GA,3.6,77562,gray,gray,audi north atlanta,17300,17000,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
2012,Audi,A4,2.0T Premium,Sedan,automatic,wauefafl1cn007054,NJ,2.9,17642,white,black,"vw credit, inc",22000,20200,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2012,Audi,A4,2.0T Premium quattro,Sedan,automatic,waubfafl3cn020262,PA,2.4,36117,white,tan,vw credit,19550,17300,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
2012,Audi,A4,2.0T Premium quattro,Sedan,automatic,wauffafl2cn013630,TN,4.2,52854,black,tan,wholesale inc # 2,20300,20500,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
2013,Audi,A4,2.0T Premium quattro,Sedan,NA,waubfafl3dn044109,PA,3.2,32095,silver,black,avis corporation,23000,22600,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2013,Audi,A4,2.0T Premium Plus quattro,Sedan,manual,wauhfaflxdn028788,FL,4.4,17204,black,black,zimmerman auto brokers inc,27100,27200,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2013,Audi,A4,2.0T Prestige quattro,sedan,automatic,waukfafl3dn019663,HI,3.5,18017,black,beige,wells fargo dealer services,31800,27750,Wed Jun 10 2015 08:35:00 GMT-0700 (PDT)
2013,Audi,A4,2.0T Premium Plus,sedan,automatic,wauefafl4da042552,CA,3.6,38631,silver,black,high bid trading co inc,22900,21500,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
2013,Audi,A4,2.0T Premium Plus quattro,Sedan,NA,wauffafl0dn007391,PA,2.8,61015,â€”,black,vw credit,22200,21600,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
2014,Audi,A4,2.0T Premium quattro,Sedan,automatic,waubfafl5en003613,OH,4.3,39272,red,black,byers car rentals llc,26100,25500,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2014,Audi,A4,2.0T Premium,Sedan,automatic,wauafafl0ea072843,CA,2.9,9603,black,black,midway hfc fleet/ars,26400,25100,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
2012,Audi,A5,2.0T Premium quattro,Coupe,NA,waulfafrxca002583,PA,4.4,43747,gray,beige,r hollenshead auto sales inc,23000,23200,Fri Feb 20 2015 01:00:00 GMT-0800 (PST)
2012,Audi,A5,2.0T Premium quattro,Coupe,manual,wau3fafr9ca005121,WA,3.3,43166,black,black,"vw credit, inc/pilot",22500,24750,Wed Jun 10 2015 05:30:00 GMT-0700 (PDT)
2013,Audi,A5,2.0T Premium Plus quattro,convertible,automatic,waulfafh7dn010139,FL,4.9,29553,silver,black,the collection,31700,33000,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
2013,Audi,A5,2.0T Premium Plus quattro,Convertible,automatic,waulfafh6dn000668,CA,3.7,45182,white,black,vci/audi of downtown la,30100,30000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2000,Audi,A6,4.2 quattro,Sedan,automatic,wauzl64b3yn120979,AZ,2.8,128040,blue,beige,earnhardt,2425,2600,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
2001,Audi,A6,4.2 quattro,Sedan,automatic,wauzl64b91n151708,VA,1.9,203026,silver,black,don beyer volvo winchester,1150,600,Thu Feb 12 2015 01:35:00 GMT-0800 (PST)
2002,Audi,A6,3,Sedan,NA,waujt54b32n041245,CA,1.9,113968,silver,black,arrowhead auto group inc,3050,2500,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
